1	Betsy Baker	Aug. 20, 1842	Oct. 24, 1955
2	Rosalia Spoto	Aug. 25, 1847	Feb. 20, 1957
3	Christina Backs-Karnebeek	Oct. 2, 1849	Oct. 7, 1959
4	Marie Olsen	May 1, 1850	Nov. 24, 1959
5	Mary Kelly	June 7, 1851	Dec. 30, 1964
6	Elizabeth Kensley	May 12, 1855	Mar. 6, 1965
7	William Fullingim	07/07/55	Aug. 6, 1965
8	Hannah Smith	Jan. 7, 1856	Jan. 10, 1966
9	John Turner	June 15, 1856	Mar. 21, 1968
10	Johanna Booyson	Jan. 17, 1857	June 16, 1968
11	Marie Bernatkova	Oct. 22, 1857	May 4, 1969
12	Ada Roe	Feb. 6, 1858	Jan. 11, 1970
13	Josefa Salas Mateo	July 14, 1860	Feb. 27, 1973
14	Alice Stevenson	July 10, 1861	Aug. 18, 1973
15	Elizabeth Watkins	Mar. 10, 1863	Oct. 31, 1973
16	Mito Umeta	Mar. 27, 1863	May 31, 1975
17	Niwa Kawamoto	Aug. 5, 1863	Nov. 16, 1976
18	Sophia De Mu	June 30, 1866	Dec. 2, 1977
19	Marie-Virginie Duhem	Aug. 2, 1866	Apr. 25, 1978
20	Fannie Thomas	Apr. 14, 1867	Jan. 22, 1981
21	Augustine Teissier	Jan. 2, 1869	Mar. 8, 1981
22	Nellie Spencer	Aug. 24, 1869	Nov. 13, 1982
23	Emma Wilson	May 12, 1870	Oct. 13, 1983
24	Mathew Bead	July 9, 1870	Feb. 16, 1985
25	Augusta Holtz	Aug. 3, 1871	Oct. 21, 1986
26	Mary McKinney	May 30, 1873	Feb. 2, 1987
27	Anna Eliza Williams	June 2, 1873	Dec. 27, 1987
28	Florence Knapp	Oct. 10, 1873	Jan. 11, 1988
29	Jeanne Calment	Feb. 21, 1875	Aug. 4, 1997
30	Marie-Louise Meilleur	Aug. 29, 1880	Apr. 16, 1998
31	Sarah Knauss	Sept. 24, 1880	Dec. 30, 1999
32	Eva Morris	Nov. 8, 1885	Nov. 2, 2000
33	Marie Bremont	Apr. 25, 1886	June 6, 2001
34	Maud Farris-Luse	Jan. 21, 1887	Mar. 18, 2002
35	Grace Clawson	Nov. 15, 1887	May 28, 2002
36	Adelina Domingues	Feb. 19, 1888	Aug. 21, 2002
37	Mae Harrington	Jan. 20, 1889	Dec. 29, 2002
38	Yukichi Chuganji	Mar. 23, 1889	Sept. 28, 2003
39	Mitoyo Kawate	May 15, 1889	Nov. 13, 2003
40	Ramona Trinidad Iglesias-Jordan	Aug. 31, 1889	May 29, 2004
41	Maria Esther de Capovilla	Sept. 14, 1889	Aug. 27, 2006
42	Elizabeth Bolden	Aug. 15, 1890	Dec. 11, 2006
43	Emiliano Mercado Del Toro	Aug. 21, 1891	Jan. 24, 2007
44	Emma Tillman	Nov. 22, 1892	Jan. 28, 2007
45	Yone Minagawa	Jan. 4, 1893	Aug. 13, 2007
46	Edna Parker	Apr. 20, 1893	Nov. 26, 2008
47	Maria de Jesus	Sept. 10, 1893	Jan. 2, 2009
48	Gertrude Baines	Apr. 6, 1894	Sept. 11, 2009
49	Kama Chinen	May 10, 1895	May 2, 2010
50	Eugenie Blanchard	Feb. 16, 1896	Nov. 4, 2010
51	Maria Gomes Valentim	July 9, 1896	June 21, 2011
52	Besse Cooper	Aug. 26, 1896	Dec. 4, 2012
53	Dina Manfredini	Apr. 4, 1897	Dec. 17, 2012
54	Jiroemon Kimura	Apr. 19, 1897	June 12, 2013
55	Misao Okawa	Mar. 5, 1898	Apr. 1, 2015
56	Gertrude Weaver	July 4, 1898	Apr. 6, 2015
57	Jeralean Talley	May 23, 1899	June 17, 2015
58	Susannah Mushatt Jones	July 6, 1899	May 12, 2016
59	Emma Morano	Nov. 29, 1899	 
